hours_studied_weekly,attendance_pct,previous_exam_score,practice_tests_completed,sleep_hours,tutoring_sessions,assignment_completion_pct,class_participation,passed
8.8,100,50,6,6.4,1,91,3,0
4.7,72,66,3,6.1,2,85,4,1
6.2,83,57,2,5.9,0,70,2,1
5.9,86,76,0,7.5,0,75,1,1
11.9,63,60,3,6.1,1,81,4,0
8.3,75,46,5,6.4,0,70,3,1
5.7,75,68,2,7.5,4,48,4,0
3.7,48,71,2,6.4,2,60,1,0
7,97,54,5,5.5,2,100,4,1
7.1,73,67,4,8.4,4,49,3,1
6.3,66,94,1,6.8,1,45,3,1
7,69,57,4,9,1,85,3,0
5,89,59,4,7.4,0,49,4,0
6.8,88,59,5,7.2,0,79,2,1
9.8,90,43,2,7.5,3,58,4,0
8.9,73,58,3,5.1,1,94,4,1
7.3,83,53,3,7.5,2,56,1,1
3.8,63,90,1,7.9,0,59,3,0
6.3,69,51,3,6.7,2,64,3,0
6.5,70,61,5,5.4,0,61,4,1
3.8,71,35,2,7.5,0,66,2,0
6.3,68,50,0,5.9,0,61,5,0
1.5,66,61,0,5.3,3,80,4,0
4,72,60,4,7.2,1,75,3,0
4.7,81,49,5,6.3,0,91,4,0
7.5,80,93,1,6.2,0,100,3,1
6.3,81,65,2,6,2,68,1,0
4.8,65,74,2,7.2,2,63,3,0
3.4,70,67,3,6,0,75,1,1
9.4,88,83,7,6.6,0,90,5,1
4.8,72,67,4,7.1,1,87,5,1
2.5,86,59,0,7,5,68,2,0
8.9,88,81,5,7.6,2,86,5,1
11.3,88,56,7,5.9,0,71,4,1
8.6,91,69,3,6.5,0,87,3,1
9.6,80,56,1,6.8,1,82,5,0
8.3,86,67,3,5.4,1,84,3,1
10.8,63,64,4,6.6,0,83,3,0
5.4,65,94,3,7.1,1,59,3,0
0.4,69,52,2,5,0,36,3,0
10.2,89,76,3,6.9,1,100,2,1
10.8,77,57,2,8.4,0,69,4,1
11.5,68,65,6,5.1,2,84,5,0
5.6,82,62,4,5.5,2,71,3,0
0.5,79,48,1,8.5,3,73,2,1
11.2,95,87,1,7.3,2,98,4,1
8.8,69,38,0,7.4,0,67,3,0
8,71,46,1,6.3,1,59,4,0
7.9,74,38,3,7.3,1,100,2,0
11.5,100,48,7,6.1,0,91,4,1
6.5,59,78,2,7.1,0,73,4,0
8.6,82,62,3,6.4,2,85,2,1
7.1,89,54,5,5.5,3,78,2,1
14.2,92,61,5,6.9,1,80,5,1
11.9,74,65,0,6.5,2,54,2,1
9,78,59,3,6.7,0,92,1,1
9.8,68,51,4,8.9,2,61,3,0
7.4,83,67,3,7.7,1,75,2,0
8.7,68,57,0,6.7,2,52,1,0
10.6,85,62,2,6.6,1,70,4,1
8.1,73,77,4,5.9,1,72,2,1
7.2,100,88,4,6.2,2,66,5,1
5.9,76,62,5,8.2,0,86,4,1
8.4,71,54,6,8.7,3,72,3,1
11.7,71,53,5,8.4,2,50,3,0
10,75,57,4,5.8,1,100,3,1
4.4,65,72,0,7.4,4,48,3,0
7.9,79,66,5,7.4,4,51,2,1
6.5,79,89,2,5.8,0,68,4,1
9.9,100,88,0,6.3,0,73,3,1
3.1,69,39,1,6.8,0,66,3,0
7.7,65,56,1,5.8,2,97,3,1
10.5,73,30,5,7.5,0,84,2,0
11,86,57,2,6,4,74,4,1
3.9,76,47,1,8,3,87,2,0
3.5,81,62,5,7.8,3,88,4,1
10.4,80,57,2,7.9,2,85,4,0
11.6,75,80,7,7.4,1,85,3,1
5.6,80,70,4,6.8,1,88,3,0
13.6,96,42,4,8.4,0,84,1,1
4.1,62,76,3,6.1,3,68,1,0
12.5,74,56,0,6.6,0,68,3,1
10.5,70,82,2,6.7,2,82,1,0
7.3,67,51,3,5.8,0,78,2,0
8.5,75,54,5,7.4,1,66,3,0
10,80,53,2,5.4,1,72,4,0
9.7,85,61,0,6.8,2,61,2,0
12.6,67,60,1,7.5,1,82,3,0
6.4,67,83,4,6.8,1,66,3,1
4,72,52,2,5.9,2,74,4,0
8.1,90,65,2,8.3,2,68,3,1
7.2,100,65,4,7.8,0,80,2,1
10.3,54,79,3,6.8,1,72,2,1
2.6,53,70,0,7.5,4,80,5,0
5.2,80,78,6,6.8,1,88,4,1
11.5,78,52,6,7.1,3,76,3,1
6.1,90,57,5,6.5,3,77,3,1
10.7,80,69,0,6.9,1,97,2,0
11.1,69,61,6,6.6,2,65,2,0
6.5,87,71,8,6.9,0,86,3,1
4.7,62,59,7,8.3,3,59,3,0
12.2,67,58,0,7.5,2,65,2,1
8.5,67,90,1,5.1,1,71,3,1
4.3,58,52,2,6.5,3,82,3,0
1.8,76,67,3,5.4,0,100,3,0
10.2,60,73,3,6.6,0,52,1,0
6.5,82,62,4,5.8,0,73,1,0
8.6,75,62,4,6.6,1,71,5,1
8,70,80,2,6,1,60,1,1
9.9,84,55,4,5.5,2,81,4,0
9.6,92,39,7,6.8,0,77,3,1
5.5,76,49,1,8.3,2,70,3,0
6.3,73,48,3,6,3,45,2,0
6.8,71,61,6,6.2,0,63,2,1
6.2,82,38,8,8.3,0,89,5,1
8,73,87,2,6.5,0,81,3,1
6.8,77,51,2,7.5,1,39,3,0
15.5,99,79,6,7.2,1,68,2,1
7.2,90,46,4,7,1,86,2,0
2.3,89,88,6,7,2,87,5,1
7.4,64,62,2,5.8,1,75,2,0
7.6,81,78,4,6.1,1,62,4,1
9.6,82,60,2,5.7,0,73,3,1
8,85,86,2,8.6,0,71,1,1
3.8,89,63,4,6.7,2,62,4,1
8.2,66,61,4,6.2,3,75,4,1
10.7,63,65,3,7.8,1,87,4,0
9.3,83,42,1,6.7,0,82,4,1
5.5,68,48,0,6.1,0,67,4,0
3.2,78,53,1,6.9,0,87,3,0
7.6,68,52,3,7.2,0,58,2,0
3,73,82,3,5.8,1,68,3,1
8,86,65,2,6.8,1,84,3,1
7.9,89,65,4,6.6,0,86,3,1
6.8,60,61,4,8,0,42,1,0
9.2,75,64,2,6.2,4,84,4,0
8.4,81,79,3,6.3,2,67,4,0
0.4,76,67,3,6.5,2,75,5,0
3.9,82,81,1,6.5,1,76,3,0
5,79,71,4,6.9,0,63,1,0
8.6,94,70,4,6.2,0,73,4,1
8.1,95,91,3,7.1,3,63,4,1
5.1,66,52,3,6.3,1,61,3,0
6,76,63,4,6.4,4,75,3,0
5.9,86,55,2,8.1,4,97,5,0
9.6,82,67,0,6.5,3,80,1,1
7.1,80,59,5,6,4,96,5,1
6.3,83,53,4,7,0,62,3,0
6.3,75,71,3,5.7,0,73,4,0
8,86,54,3,5,0,100,3,1
12.3,87,60,4,7.1,0,99,4,1
2,69,61,0,8.8,0,87,2,0
2.5,84,82,5,6.7,2,93,3,1
9.5,93,48,1,6.2,0,88,3,1
7.1,60,64,3,7,0,92,4,0
8.4,65,33,5,7,0,79,3,0
10,73,49,5,5.1,0,66,2,1
5.4,74,55,2,7.4,0,58,3,0
4.8,56,38,2,5.9,2,42,1,0
9.4,75,53,3,4.2,3,100,4,1
13.1,87,81,4,7.2,1,100,5,1
7.7,83,61,0,5.9,1,82,3,1
7.2,77,68,4,6.9,1,97,4,1
4.2,78,59,5,6.5,0,85,3,1
8.5,93,75,4,8.1,4,97,4,1
8.3,86,46,3,6.9,0,69,3,1
12.1,78,76,7,8,1,100,2,1
8,59,57,0,6.6,0,62,1,0
4.8,100,70,4,7,1,77,3,1
7.1,77,67,0,6.1,1,46,1,0
4.9,83,87,4,7.1,0,85,3,1
2.3,91,46,5,5.7,2,67,3,1
5.4,83,75,4,6.9,1,74,5,1
5.8,89,70,3,7.6,4,67,2,1
8,89,57,3,7,3,47,4,1
8.5,97,71,2,5.9,0,84,4,1
8.8,58,76,4,6.4,0,55,3,0
9.3,89,72,5,7.6,0,70,1,1
10.3,87,61,7,7,2,93,4,1
10.9,71,65,6,6.5,0,69,2,1
7.9,63,62,0,7,1,71,1,0
5.5,87,70,3,6.6,0,85,3,1
2.5,79,57,0,4.9,0,55,2,0
9.1,63,79,2,6,1,84,3,0
5.5,76,72,3,7.2,1,86,4,0
10.5,75,68,3,7.1,3,76,2,0
1.1,72,67,0,5.9,1,95,4,0
8.2,97,50,1,6.8,1,88,4,1
7.2,72,75,4,4.8,2,93,4,1
4.4,74,76,8,6.8,0,95,3,0
6.2,92,77,2,5.7,1,67,3,1
7.2,98,50,1,7.9,0,57,4,0
4.3,82,68,2,7.2,2,94,4,1
9.3,63,73,2,6.7,0,65,3,1
11.1,86,44,6,7.2,2,98,4,0
6.9,60,74,4,4.5,0,81,4,0
1.1,50,73,6,7.1,4,69,1,0
4.1,72,71,1,7,3,94,2,1
8.7,78,46,2,7.2,4,95,4,1
4.8,78,78,6,5.9,2,94,5,1
8.6,77,55,3,5.4,4,73,4,1
6.3,81,48,2,7.3,2,95,3,1
7.9,82,69,4,6.4,2,75,2,0
4.8,61,61,3,9,3,65,3,0
10.9,55,33,3,6.3,0,55,4,0
2,78,51,4,6.7,0,81,2,0
7,85,77,0,7.7,2,74,3,1
6.8,70,94,4,6.6,3,79,2,1
11.4,87,69,5,7.7,0,84,5,1
6.4,54,60,4,5.2,1,77,1,0
5.5,62,72,3,5.9,4,63,3,0
4.1,57,41,0,8.7,3,72,4,0
0,69,55,3,7.1,0,54,4,0
8.8,63,68,1,8,0,57,2,0
5.6,70,45,2,8.8,5,47,4,0
2.5,66,50,0,7.5,1,81,3,0
8.3,83,57,4,6.7,3,71,3,1
13.5,85,64,2,6.2,0,96,3,1
4.9,91,52,7,9,0,86,2,1
8.9,79,75,4,6.4,2,77,2,1
10.9,68,74,2,7.8,3,52,3,1
0,52,47,4,5.7,0,57,1,0
6.9,83,54,2,7.1,1,79,4,1
4.1,77,59,0,6.4,1,61,1,1
10.9,92,71,4,6.8,0,96,5,1
6.4,61,51,5,6.6,0,80,2,0
1.5,90,60,6,6.5,0,63,1,0
8.4,87,57,4,7.9,2,86,2,1
4.2,71,72,2,7.1,0,56,1,0
10.6,57,60,2,7.2,3,83,2,0
3.2,76,46,1,6.2,1,95,3,0
6.9,63,84,5,6.5,3,100,4,1
8.2,80,70,2,6.2,0,70,3,0
7.5,76,58,2,6.7,3,76,4,1
6.2,61,37,2,6.3,2,96,1,0
5.3,60,61,3,7.7,0,69,3,0
10.6,63,50,1,8.2,2,70,5,0
6,74,58,4,6.4,3,65,3,1
7.3,79,93,0,6.5,0,92,3,1
7.5,80,56,5,6,2,72,2,1
10.4,64,74,1,8.1,0,90,2,0
5.9,56,50,4,7.5,0,74,2,0
12.6,68,69,2,5.6,0,59,3,0
9.1,84,67,6,8.4,1,71,3,1
6.2,54,79,2,7.5,1,93,1,1
5.3,72,59,3,7.5,0,100,2,0
6.9,71,42,2,5.9,4,84,4,0
1,70,64,2,6.8,0,52,1,0
7.6,57,56,2,5.5,1,90,4,0
6,69,73,2,6.8,3,82,2,0
4,92,43,6,7.8,1,98,3,0
10.2,71,69,6,7.7,1,35,3,0
5.3,78,59,1,6.4,1,65,4,0
5.1,77,53,4,6.7,3,74,3,1
11.1,64,69,4,6.8,1,97,4,1
1.8,71,66,0,7.5,2,64,3,0
8.9,61,46,2,5.8,0,48,4,0
6.1,84,67,4,6.3,1,66,2,1
2.7,79,62,2,6,0,67,2,1
6.5,82,58,5,6.8,0,74,3,0
7.3,92,74,6,8.5,2,79,3,1
5.1,68,61,6,6.6,1,76,5,0
6.8,76,56,6,7.8,0,77,3,1
9.6,67,53,6,6.6,1,87,3,1
15.9,90,83,0,7.2,4,85,3,1
6,74,62,4,6.5,0,69,4,0
6.8,93,35,0,6.2,3,94,3,0
10,79,72,0,7.5,0,82,2,0
4.9,77,47,3,7.4,1,79,4,0
5.1,77,54,1,5,1,100,5,0
4.2,76,63,2,7.4,0,91,1,1
8.3,83,65,5,7.1,0,73,4,1
8.8,50,78,0,6.9,1,77,4,0
8.4,77,74,4,5.3,2,76,3,1
6.4,63,95,1,6.7,4,81,1,1
4.2,74,94,4,7.5,0,62,3,1
7.8,84,50,3,6.5,1,61,4,0
7.7,64,64,0,5.4,2,96,3,0
12,72,73,4,6.9,0,75,2,1
7.8,68,59,5,7.3,0,90,3,0
3.3,91,57,4,7.4,1,65,1,0
2,60,69,3,5.7,3,45,3,0
3.7,59,70,1,6.1,0,89,3,0
11,76,58,4,6.4,0,67,5,0
4.3,66,52,4,4.3,2,85,4,0
11,77,48,5,5.3,1,72,2,0
5.6,79,67,2,8.1,0,59,2,0
8.2,92,44,4,9,0,69,3,1
1.1,61,80,2,6.8,4,76,3,1
6.9,91,64,3,7.8,0,64,5,1
9.2,86,40,1,5.9,3,82,4,0
5.1,71,66,6,7.8,1,92,3,0
10.7,64,54,4,6.6,0,64,3,0
10.3,87,56,5,7.8,0,91,2,1
1.9,57,63,5,8.6,4,68,1,0
6.4,64,66,0,6.1,0,52,3,0
5.9,92,46,4,6.5,0,95,3,0
7.1,75,71,4,7.7,0,100,5,1
13.8,73,70,4,9,1,47,2,0
6,76,49,1,7.1,1,63,4,0
4,70,72,3,4.4,3,50,3,1
0,70,61,3,7.9,2,65,2,0
7.5,81,58,1,4.9,1,66,3,1
4.8,80,79,4,6.6,1,87,4,0
9.9,69,58,1,7.9,0,79,2,0
5.6,91,63,5,7,0,84,3,0
4.3,92,83,4,6.9,3,73,3,1
6,91,59,6,8.4,0,79,3,1
6.5,73,60,4,6.3,0,41,2,0
8.4,79,59,5,7.1,1,60,4,1
6.2,78,59,2,7.5,0,76,4,1
12.3,77,78,1,6.4,0,98,5,0
8.1,65,50,2,7.9,0,65,2,0
9,69,43,2,7,2,69,2,0
1.5,64,60,6,6.3,3,55,3,0
10.3,62,69,2,8.8,3,100,4,0
1.2,77,86,0,7.1,3,66,3,1
12.1,100,57,3,7,0,100,4,1
6.1,78,73,3,8.3,0,81,4,1
10.5,100,47,7,6.3,2,100,3,1
1.4,62,80,5,7.9,4,93,4,0
7.1,78,41,3,6.1,2,94,4,0
9.5,76,63,3,7.2,0,76,3,1
8.1,66,78,6,6.3,0,49,1,1
11.8,84,69,4,7.4,0,93,5,1
11.5,76,38,5,6.9,0,99,2,1
7.9,85,69,4,8.1,4,90,3,1
5.1,96,73,3,7.4,1,63,2,0
10.7,88,45,3,8.9,0,74,2,1
11.3,93,53,6,6.2,0,77,4,1
4.5,79,75,0,7.1,1,74,3,1
8.7,75,55,4,6.9,0,57,4,1
2.6,74,60,5,7,3,65,1,1
7.8,88,63,4,6.5,1,69,3,0
8.5,77,61,0,7.1,1,59,2,0
8.1,61,45,4,7.1,1,100,2,0
8.5,69,32,4,7.4,1,71,2,0
9.8,63,78,3,4.7,1,87,4,1
6.9,86,86,6,6.6,0,82,2,1
5.2,72,74,3,8.9,1,63,2,1
14.6,86,60,2,7.6,2,67,1,1
9.3,70,71,4,6.4,1,78,3,1
7.6,100,41,8,7.2,3,100,3,1
7.6,87,57,1,4.7,1,36,3,0
8.9,71,76,2,5.6,3,71,1,1
3,75,56,4,8.4,0,64,2,1
6,89,73,7,6.6,2,81,4,1
7.5,63,55,3,7.2,3,80,3,0
8.3,70,63,0,7.6,0,65,2,0
4.1,66,42,6,6.7,0,72,3,0
12.3,64,60,6,7.3,0,58,2,0
9.8,66,52,1,5.3,2,73,3,1
3.8,77,58,6,6.5,0,98,2,1
0.6,65,64,4,7.4,2,82,1,0
6.1,74,54,2,8.4,3,70,2,0
11,48,90,1,7.6,2,88,2,0
1.8,77,52,4,7.6,1,82,2,0
7.6,81,58,4,6.1,0,61,4,1
5.9,84,60,4,7.2,0,75,3,1
4.5,62,50,0,7.8,0,91,3,0
5.1,91,61,4,6.3,0,82,1,0
12.8,75,77,3,7.4,0,82,1,1
7.8,74,50,1,5.1,2,84,3,0
11.5,99,55,7,8.6,1,92,3,1
0,48,55,5,8.6,0,48,2,0
5.9,67,67,4,7.7,3,77,3,1
8.7,68,87,3,6.3,0,97,4,0
10.2,88,58,3,7.5,2,91,4,1
6.7,57,62,1,7.4,3,63,2,0
2.9,92,64,3,6.5,2,87,4,0
7.8,85,70,4,7,3,84,3,1
9.1,55,54,3,4.3,1,76,4,0
17,96,72,5,6.8,1,75,2,1
5.6,64,62,0,7,1,42,1,0
8.1,72,65,6,7.1,1,70,4,0
5.1,70,63,3,6.9,2,99,3,1
9.9,69,69,4,6.6,2,58,4,1
11.3,69,71,3,5.9,4,87,3,1
8.7,81,55,3,7.2,1,49,3,1
9.6,63,47,3,6.4,0,63,2,0
12.4,100,77,4,7.1,3,94,3,1
6,75,67,4,7.7,3,64,3,1
9.9,78,49,3,5.4,1,86,3,1
2.2,67,64,2,4.9,1,58,2,0
5.5,77,57,3,6.1,1,69,2,1
7.8,100,58,2,5.8,0,77,1,0
3.2,70,63,8,6.8,1,95,4,1
3.7,75,57,2,7.9,0,63,1,0
4.5,67,53,0,5.7,1,44,1,0
9.5,94,71,3,8.5,0,80,4,1
0,78,45,5,7.6,2,75,3,0
4,83,95,3,6.8,3,59,1,0
8.7,95,66,4,6.4,3,82,2,1
4.4,48,61,1,4.4,2,59,2,0
5.5,95,54,7,7,1,64,5,1
6.8,72,91,2,8.3,1,66,3,0
11.6,92,48,2,7.4,1,90,4,1
10.2,71,61,3,6.4,1,49,4,0
3.2,74,71,0,6.8,0,60,3,1
12.8,88,52,3,5.6,0,87,4,1
1,70,65,1,7.4,2,99,3,0
9.6,75,79,2,6.6,0,87,2,1
5.2,83,80,3,7.6,0,76,2,1
4,75,73,3,6,0,57,3,1
11.1,76,45,4,6,1,64,3,1
10.5,100,47,7,7,1,100,3,1
5.4,80,79,0,6.3,1,69,3,1
3.4,75,66,2,7.4,1,66,4,1
11.8,69,73,2,6,0,61,4,1
8,84,85,1,7.4,0,100,3,1
8.2,72,55,1,8.9,3,59,4,0
7,88,54,4,6.1,0,58,4,0
12.3,83,65,4,6,0,78,2,1
0,82,60,1,6.6,1,45,2,0
14.9,100,69,4,7.4,3,75,3,1
4.3,100,79,8,6.7,0,72,2,1
10,92,64,4,9,1,73,4,1
5.1,81,57,5,7.1,4,77,2,1
6.2,78,72,2,6.3,1,63,4,0
9.7,67,58,1,5.9,1,62,2,0
9.7,75,80,1,5.4,0,62,3,0
5.4,74,64,2,6.1,1,88,5,1
11,82,74,2,8.8,1,69,4,1
5,77,30,5,6.8,0,68,3,0
5.5,80,59,1,7.2,0,75,2,1
11.8,79,60,4,7.4,1,50,3,1
0.5,66,53,3,4.8,2,80,2,0
9.2,95,52,2,7.3,1,74,3,0
2.3,77,61,3,7.8,2,78,3,1
5.7,77,75,5,5.8,1,82,2,0
6.9,67,60,3,5.9,0,72,3,0
6.9,83,69,3,5.9,2,76,3,1
4.6,91,45,2,6.7,0,100,2,1
7.3,55,53,1,8.9,2,72,4,0
11.3,73,74,5,7.6,2,94,3,1
11.6,89,70,4,7.6,5,94,4,1
11.6,69,38,1,4.4,1,73,4,0
11.4,99,56,7,7.9,0,57,4,0
9.6,85,85,3,8.1,4,72,3,1
1.1,64,69,0,5.7,1,54,2,0
14.7,82,56,0,4.8,1,77,2,1
10.3,69,72,4,6.2,2,90,5,1
8.3,73,62,2,6.7,0,88,1,0
4.3,68,59,0,6.6,1,82,3,1
9.6,100,61,4,7.9,2,93,2,1
7.4,75,89,2,8.5,3,57,1,0
10.7,72,66,3,5.6,1,78,5,1
7.9,71,51,6,7.5,1,66,3,0
8.1,100,59,1,6.8,3,51,3,1
10,86,54,2,4.6,0,67,4,1
12.7,83,75,6,7.6,2,90,3,1
9.5,61,71,1,7.5,0,86,3,0
4.7,75,75,0,9,0,74,2,0
9.5,74,54,1,6.9,0,74,3,0
5.6,96,39,3,7.7,2,74,3,0
8.4,64,73,1,8.3,0,91,2,1
7.6,84,51,5,6.7,0,73,1,1
9.4,85,70,1,6,0,76,3,1
4.2,80,75,3,6,0,59,3,0
8,75,70,3,7.6,0,80,4,1
7.3,74,41,1,6.2,1,69,3,0
7,86,76,4,5,2,66,2,1
4.7,66,59,1,7.6,0,35,1,0
7.1,72,75,2,7.1,4,68,3,0
4,89,62,3,7.3,1,77,5,0
0.8,62,84,4,7.8,0,68,2,0
3.7,67,55,1,5,0,35,2,0
2.5,50,49,2,5.9,1,83,1,0
5.9,65,62,0,7.5,0,65,3,1
6.1,74,63,6,5.8,0,62,1,1
1.6,79,72,5,7.2,2,82,3,1
8.2,76,46,2,7.9,1,60,3,0
7,70,73,3,7.5,0,89,3,0
5.4,94,66,1,7,0,90,3,0
7,76,51,2,8.1,4,80,3,0
9.9,88,52,5,6.6,0,72,4,1
5.6,55,69,3,6,1,82,3,0
11.2,87,67,3,7.4,3,92,1,0
1.3,62,60,3,6.8,0,79,2,0
3.5,86,69,1,7.1,0,85,1,0
2.9,75,55,2,7.6,3,87,4,0
6.4,97,49,2,6.5,0,78,1,1
4.2,93,75,4,7.6,1,100,4,1
11.7,93,53,0,5.2,1,77,3,1
4.4,75,74,8,6.6,1,71,4,1
8.8,80,55,0,6.9,0,76,5,0
5.1,61,67,5,6.8,0,80,3,1
2.3,77,61,6,7.9,3,69,5,1
9.2,73,34,1,8,2,85,4,0
9.8,76,69,7,6,0,74,1,1
10.6,92,55,2,6.5,2,55,2,1
11.6,98,59,3,6.7,2,75,3,1
9.7,80,65,3,6,4,97,4,1
3.1,88,48,2,8.5,0,61,4,0
1.2,81,70,3,7.8,1,100,4,1
8.3,64,57,4,6.8,3,85,2,0
0.6,84,79,4,5.2,0,79,2,1
8,87,63,1,6.3,2,79,3,1
9.8,88,70,1,8.3,2,66,2,1
12,85,66,4,6.9,2,100,3,1
8.6,71,71,4,7.9,1,92,5,1
0,78,47,3,6.4,1,57,1,0
6.6,61,80,3,5.5,3,86,3,1
6.5,70,55,5,7.5,0,70,3,0
1.8,84,69,1,7.7,3,51,5,1
9.7,71,49,2,7.7,0,79,4,0
12.2,64,38,2,8.1,3,64,3,0
5.2,78,70,6,6.7,1,85,2,1
6,69,81,1,6.8,4,95,3,1
5,75,71,6,7.3,1,83,3,1
6.1,68,51,6,6.8,1,69,3,0
3.9,67,62,1,8.1,3,77,5,0
7.3,67,77,1,7.7,2,83,1,0
11.1,59,64,0,5.8,3,81,1,0
5.1,81,68,4,5.1,0,69,3,1
4.1,81,74,0,7.6,0,100,2,1
10,82,64,3,7,0,81,3,0
12.6,99,34,4,7.1,1,87,5,1
4,69,44,3,7,0,49,3,0
5.7,72,59,5,6.3,1,96,3,0
8.5,60,72,5,5.9,3,53,3,1
11.7,89,70,3,6.4,2,79,4,1
10.5,83,78,5,6.5,1,84,5,1
8.7,82,40,5,6.6,0,78,4,1
3.2,66,48,5,7.2,1,45,3,0
2.2,76,46,1,6.4,1,74,3,0
7.1,82,61,3,5.7,2,91,2,1
7.5,97,64,5,7.6,2,93,4,1
9.4,77,56,3,6.2,0,80,2,0
7.6,66,64,1,6,0,75,4,1
4.4,72,43,6,5.7,0,85,3,0
13.2,71,44,5,7.1,0,81,2,1
4.3,52,49,0,8.3,0,64,3,0
6.4,69,78,5,6.1,1,72,3,1
3.8,73,85,2,7.5,1,87,4,1
6.7,67,73,3,6.2,0,61,2,0
3.8,85,48,6,8.1,1,100,3,1
6.5,100,60,2,5.5,0,60,4,1
5.1,80,78,4,9,0,66,3,1
4.9,51,70,0,5.8,1,78,1,0
4.9,69,67,2,7.9,0,56,3,0
8,94,54,1,5.6,2,75,5,1
7.2,78,51,4,7.5,3,70,4,1
3.1,79,65,4,7.1,0,83,3,1
6.2,85,47,3,6.4,2,96,3,1
7,86,42,4,7.2,0,71,1,1
12.9,78,64,4,5.1,1,78,2,1
6.8,61,72,1,8.2,2,80,4,0
5.5,84,72,6,7.3,0,87,4,1
11.9,96,76,3,6.2,1,94,2,1
7.6,84,67,2,8,2,73,3,1
7.1,67,79,0,5.1,0,78,1,0
5.5,65,63,6,6.5,2,77,1,1
5.1,67,59,4,7.7,0,70,2,0
7.7,74,50,7,5.7,0,56,3,0
7,70,60,4,5.7,0,79,3,0
13.3,62,61,2,7,0,88,3,0
7.4,82,55,7,5.8,3,58,2,0
