order_id,distance_km,delivery_time_min,order_value_sgd,vehicle_type,traffic_level,weather,time_of_day,area,customer_rating
SG10359,4.6,47,7,Car,Medium,Clear,Morning,East,4.7
SG10360,5.3,50,35.37,Car,High,Cloudy,Evening,Central,5
SG10361,2.5,33,23.52,Bicycle,Medium,Rainy,Night,Central,4.1
SG10362,4.6,26,12.37,Bicycle,Low,Clear,Morning,Central,4.9
SG10363,1.6,26,43.43,Motorcycle,Low,Clear,Morning,East,5
SG10364,4.2,56,14.37,Bicycle,High,Clear,Evening,East,4.1
SG10365,5,39,42.38,Bicycle,Low,Cloudy,Evening,Central,5
SG10366,0.9,35,19.63,Car,High,Clear,Morning,North,5
SG10367,2.8,31,51.03,Motorcycle,Low,Rainy,Evening,East,4.9
SG10368,6.4,55,42.89,Motorcycle,Medium,Rainy,Evening,North-East,4.7
SG10369,2.3,37,16.76,Bicycle,High,Clear,Night,Central,five
SG10370,7.1,30,21.78,Motorcycle,Low,Clear,Night,West,
SG10371,7.6,44,41.93,Motorcycle,Low,Cloudy,Evening,Central,4.6
SG10372,6.4,48,29.72,Motorcycle,High,Cloudy,Afternoon,West,4.6
SG10373,8.7,42,32.74,Bicycle,Low,Clear,Afternoon,Central,3.9
SG10374,1.6,26,45.8,Motorcycle,Medium,Clear,Afternoon,Central,4.7
SG10375,9.9,49,26.15,Motorcycle,Medium,Clear,Morning,West,5
SG10376,2.6,43,31.23,Motorcycle,Low,Rainy,Evening,East,4
SG10377,5.7,50,44.98,Car,High,Clear,Morning,Central,3.5
SG10378,14.9,85,50.48,Bicycle,High,Rainy,Afternoon,North-East,3.7
SG10379,4.1,29,29.24,Motorcycle,Medium,Clear,Morning,Central,5
SG10380,5.4,49,28.56,Motorcycle,High,Rainy,Afternoon,West,4.5
SG10381,2.6,26,7.45,Motorcycle,Low,Clear,Afternoon,West,4.8
SG10382,14.9,58,26.15,Motorcycle,Low,N/A,Evening,Central,3.4
SG10383,2.8,39,34.35,Bicycle,Medium,Rainy,Evening,East,4.9
SG10384,8,55,32.61,Motorcycle,High,Rainy,Morning,Central,4.6
SG10385,11.3,52,38,Car,Low,Clear,Evening,North,3.6
SG10386,8.5,39,48.3,Motorcycle,Low,Clear,Evening,Central,5
SG10387,6.7,51,17.9,Bicycle,Medium,Clear,Afternoon,Central,4.8
SG10388,5.7,52,29.45,Motorcycle,High,Clear,Evening,East,4.9
SG10389,2.1,32,32.12,Car,Low,Clear,Afternoon,North-East,5
SG10390,14.5,69,30.41,Car,Medium,Rainy,Morning,North,4.3
SG10391,6.3,47,51.66,bicycle,Medium,Clear,Evening,North-East,4.7
SG10392,5.4,31,44.13,Motorcycle,Medium,Cloudy,Morning,West,5
SG10393,2.4,19,33.7,Motorcycle,Low,Clear,Night,North,4.3
SG10394,5.6,32,55.78,Bicycle,Low,Clear,Night,West,4.2
SG10395,5.2,39,12.65,Bicycle,Medium,Cloudy,Evening,North-East,4.4
SG10396,14.9,61,39.86,Motorcycle,Medium,Clear,Evening,West,4.1
SG10397,5.4,49,37.08,Motorcycle,High,Cloudy,Evening,East,4.6
SG10398,5.5,35,20.52,Motorcycle,Medium,Clear,Night,West,4.9
SG10399,2.4,43,SGD 38.20,Bicycle,Medium,Rainy,Afternoon,West,5
SG10400,3.2,41,16.14,Bicycle,High,Cloudy,Morning,Central,5
SG10401,7.4,60,42.9,Bicycle,Medium,Rainy,Evening,East,3.8
SG10402,1.4,30,42.85,Bicycle,Medium,Clear,Afternoon,East,5
SG10403,9.8,41,39.4,Motorcycle,High,N/A,Afternoon,North-East,4.3
SG10404,10,37,11.9,Motorcycle,Low,Clear,Morning,East,4.7
SG10405,2.9,41,17.77,Motorcycle,Medium,,Evening,North-East,4.8
SG10406,6.7,44,40.69,Bicycle,High,Clear,Afternoon,East,3
SG10407,11.5,43,37.49,Motorcycle,Low,Clear,Morning,North,5
SG10408,4.9,40,7,Motorcycle,Medium,Clear,Morning,Central,4.9
SG10409,4.3,23,47.6,Motorcycle,Low,Clear,Afternoon,North-East,4.8
SG10410,4.7,25,33.51,Motorcycle,Low,Clear,Night,West,5
SG10411,6.3,36,22.4,Bicycle,Medium,Clear,Afternoon,Central,4.6
SG10412,3.4,37,43.69,Motorcycle,Low,Clear,Evening,Central,4.8
SG10413,4.1,47,22.44,Motorcycle,High,Cloudy,Evening,East,4.3
SG10414,6.4,52,24.16,Bicycle,High,Clear,Afternoon,East,5
SG10415,3.8,51,35.73,Motorcycle,High,Clear,Evening,North,4.4
SG10416,2.3,31,52.98,Motorcycle,Low,Cloudy,Evening,North-East,4.9
SG10417,1.3,27,50.14,Motorcycle,Low,Rainy,Evening,North,5
SG10418,5.5,29,37.05,Bicycle,Low,Clear,Morning,West,5
SG10419,11.1,46,42.87,Motorcycle,HIGH,Cloudy,Morning,East,4.5
SG10420,6.9,55,43.81,Bicycle,High,Rainy,Night,North-East,4.8
SG10421,2.3,27,13.54,Car,Medium,Cloudy,Evening,North-East,5
SG10422,3.1,34,38.89,Bicycle,Low,Rainy,Night,East,5
SG10423,4.3,39,21.88,Motorcycle,High,clear ,Night,North-East,4.7
SG10424,15.2,71,44.33,Bicycle,Medium,Clear,Morning,East,4.1
SG10425,15.8,60,37.65,Motorcycle,Low,Clear,Evening,North,4.8
SG10426,14.6,50,46.22,Motorcycle,Low,Cloudy,Afternoon,North-East,4.2
SG10427,5.8,45,34.2,Motorcycle,Medium,Rainy,Evening,North,
SG10428,18,65,7,Motorcycle,High,Clear,Morning,Central,3.4
SG10429,3.2,19,32.93,Motorcycle,Low,Clear,Afternoon,West,4.6
SG10430,4.2,53,39.69,Motorcycle,High,Cloudy,Evening,Central,4.2
SG10431,9.3,70,41.28,Motorcycle,High,Clear,Evening,North,4
SG10432,6.4,63,31.8,Motorcycle,High,Rainy,Evening,East,5
SG10433,6.6,32,54.67,Motorcycle,Low,Clear,Afternoon,North,5
SG10434,2.6,26,34.16,Car,Low,Cloudy,Afternoon,North-East,4.6
SG10435,5.1,44,37.81,Motorcycle,High,Rainy,Night,Central,4.2
SG10436,3.3,48,44.2,Bicycle,Medium,Cloudy,Afternoon,East,
SG10437,2,28,34.29,Motorcycle,Medium,Cloudy,Afternoon,West,5
SG10438,3.6,62,19.17,Motorcycle,High,Rainy,Evening,East,4.2
SG10439,6.4,47,7,Motorcycle,Low,Rainy,Afternoon,Central,4.3
SG10440,8.4,55,28.52,Motorcycle,High,Rainy,Evening,Central,4.8
SG10441,1.3,31,38.9,Motorcycle,High,Clear,Afternoon,East,4.4
SG10442,5.3,38,27.66,Motorcycle,Medium,Cloudy,Evening,West,4.9
SG10443,5,31,42.41,Motorcycle,Medium,Clear,Night,West,5
SG10444,6.2,51,34.89,Motorcycle,High,Rainy,Night,Central,4.5
SG10445,2.4,49,46.65,Motorcycle,Medium,Cloudy,Evening,East,4.1
SG10446,2.4,23,26.09,Motorcycle,Medium,Clear,Afternoon,East,5
SG10447,11.3,64,43.08,Motorcycle,High,Clear,Evening,East,3.9
SG10448,3,36,36.94,Motorcycle,Medium,Clear,Evening,North,4.1
SG10449,4,32,50.75,Motorcycle,Low,Cloudy,Evening,East,5
SG10450,4.3,31,9.28,Motorcycle,Low,Clear,Evening,West,5
SG10451,3.3,23,24.7,Motorcycle,Low,Clear,Evening,North-East,4.9
SG10452,7.3,53,44.84,Motorcycle,Medium,Rainy,Evening,West,4.2
SG10453,6.9,58,53.6,Car,Medium,Rainy,Evening,West,3.8
SG10454,4.8,34,35,Motorcycle,Medium,Clear,Morning,Central,4.7
SG10455,3.5,34,26.96,Motorcycle,Medium,Clear,Afternoon,Central,4.6
SG10456,4.6,62,41.52,Motorcycle,High,Rainy,Evening,Central,3.7
SG10457,5.6,54,43.78,Car,High,Cloudy,Morning,North,5
SG10458,5 km,35,25.84,Bicycle,Low,Cloudy,Evening,North-East,5
SG10459,7.6,44,38.38,Bicycle,Medium,Clear,Evening,Central,4.8
SG10460,9.8,45,51.17,Car,Medium,Clear,Morning,Central,3 stars
SG10461,12.5,56,62.54,Motorcycle,low,Clear,Evening,East,4.7
SG10462,12,57,47.24,Car,Low,Cloudy,Evening,West,4.1
SG10463,4.3,43,32.02,Motorcycle,High,Clear,Evening,West,4.7
SG10464,5.8,46,31.93,Bicycle,High,Clear,Afternoon,North,4.4
SG10465,4.8,34,39.08,Motorcycle,Medium,Cloudy,Evening,North-East,5
SG10466,4.8,43,30.32,Motorcycle,High,Rainy,Afternoon,East,4.8
SG10467,4.6,57,34.12,Car,High,Rainy,Evening,West,4.1
SG10468,5.4,26,18.55,Motorcycle,Medium,Clear,Morning,West,4.4
SG10469,10.8,52,53.49,Car,Medium,Clear,Evening,East,4.5
SG10470,6.5,40,18.41,Motorcycle,Medium,Clear,Evening,North-East,4.6
SG10471,2.3,39,24.23,Bicycle,High,Clear,Evening,Central,3.8
SG10472,9.5,48,36.88,Car,medium,Cloudy,Afternoon,North,4.7
SG10473,6.1,45,58.8,Motorcycle,Medium,Clear,Evening,North,5
SG10474,7.3,57,31 dollars,Car,High,Cloudy,Evening,North-East,5
SG10475,6.5,108,24.51,Bicycle,Low,Rainy,Afternoon,West,3
SG10476,6.6,60,26.16,Bicycle,High,Rainy,Night,East,4
SG10477,6.8,40,55.04,Motorcycle,Medium,Clear,Evening,North-East,4.2
SG10478,1.4,28,7,Motorcycle,High,Clear,nite,North,4/5
SG10479,7.3,57,20.77,Bicycle,High,Clear,Night,West,4.4
SG10480,3.2,32,66.1,Motorcycle,Medium,Clear,Night,North,4.5
SG10481,3.8,48,38.74,Motorcycle,High,Clear,Evening,East,4.4
SG10482,5.3,120,17.9,Motorcycle,Medium,Clear,Evening,West,2
SG10483,13.7,56,38.38,Car,Medium,Rainy,Morning,North-East,4.7
SG10484,2.6,39,30.95,Motorcycle,Medium,Clear,Evening,East,4.3
SG10485,5.2,63,43.18,Bicycle,High,Rainy,Evening,West,4.1
SG10486,4.5,40,55.51,Car,Low,Clear,Evening,North-East,4
SG10487,9.4,46,40.6,Motorcycle,Low,Clear,Evening,North,4.3
SG10488,4.4,31,24.52,Motorcycle,Medium,Clear,Morning,North-East,4.7
SG10489,6.2,41,43.18,Bicycle,Medium,Clear,Afternoon,East,4.6
SG10490,2.6,30,21,Motorcycle,Medium,Clear,Afternoon,North-East,5
SG10491,10.4,54,22.91,Bicycle,Low,N/A,Afternoon,Central,5
SG10492,1.9,34,7,Bicycle,Medium,Clear,Morning,West,
SG10493,7.2,44,13.41,Bicycle,High,Clear,Morning,West,5
SG10494,6.2,35,21.32,Motorcycle,Low,Cloudy,Evening,North,5
SG10495,6.8,54,18.14,Bicycle,Medium,Clear,Afternoon,North-East,4.6
SG10496,1.9,38,33.58,Bicycle,High,Cloudy,Morning,North,
SG10497,4.4,24,15.89,Motorcycle,Low,Clear,Morning,West,5
SG10498,9.1,53,7,Bicycle,Medium,Rainy,Afternoon,East,4.9
SG10499,14.9,57,26.37,Car,Low,N/A,Morning,West,4.6
SG10500,5,49,25.84,Bicycle,High,Clear,Evening,West,3.8
SG10501,8.6,49,27.02,Motorcycle,Medium,Cloudy,Evening,Central,4.1
SG10502,5.8,58,52.42,Motorcycle,High,Rainy,Afternoon,West,4.1
SG10503,5.1,29,24.14,Motorcycle,Low,Clear,Evening,North-East,5
SG10504,4,36,42.67,Motorcycle,Medium,Cloudy,Morning,North,4.7
SG10505,5.4,49,32.04,Motorcycle,High,Clear,Afternoon,North,5
SG10506,8.1,43,33.97,Car,Low,Clear,Night,East,5
SG10507,8.6,42,23.99,Motorcycle,Low,Clear,Evening,West,5
SG10508,2.2,42,28.96,Bicycle,Low,Cloudy,Night,Central,5
SG10509,3.8,46,21.08,Motorcycle,High,Clear,Afternoon,East,4.1
SG10510,2.5,32,32.22,Motorcycle,Medium,Cloudy,Afternoon,West,5
SG10511,5.5,31,29.36,Motorcycle,Medium,Clear,Afternoon,Central,4.6
SG10512,4.3,40,19.12,Motorcycle,Medium,Rainy,Afternoon,Central,3.9
SG10513,6.7,56,46.23,Bicycle,Medium,Rainy,Night,North,4.2
SG10514,7,50,39.12,Car,Medium,Clear,Morning,East,5
SG10515,1,40,22.97,Car,Medium,Clear,Evening,East,4.9
SG10516,5.3,43,34.16,Motorcycle,Medium,Clear,Evening,Central,5
SG10517,10.9,54,35.64,Bicycle,Low,N/A,Evening,West,4.4
SG10518,3.8,43,19.75,Motorcycle,High,Clear,Afternoon,East,5
SG10519,3.7,40,31.88,Car,High,Cloudy,Afternoon,West,4.7
SG10520,9.8,39,27.74,Motorcycle,Medium,Clear,Afternoon,West,4.7
SG10521,8.8,57,22.77,motorcycle,Medium,Rainy,Evening,Central,3.7
SG10522,2.7,25,9.06,Motorcycle,Low,Clear,Afternoon,North-East,5
SG10523,8.3,53,29.96,Motorcycle,High,Clear,Night,Central,
SG10524,3.1,53,37.86,Motorcycle,High,Rainy,Evening,East,4.1
SG10525,3.7,47,21.92,Car,High,Clear,Afternoon,Central,5
SG10526,2.7,41,62.92,Bicycle,Medium,Rainy,Evening,West,N/A
SG10527,2.1,25,41.23,Car,Low,Clear,Afternoon,East,5
SG10528,5.8,20,49.56,Motorcycle,Low,Clear,Night,North-East,5
SG10529,1.9,22,39.87,Bicycle,Low,Rainy,Morning,East,5
SG10530,5.9,33,56.81,Motorcycle,Low,Cloudy,Night,West,4.8
SG10531,5.8,33,22.4,Motorcycle,Low,Cloudy,Evening,Central,5
SG10532,4.8,51,7,Motorcycle,High,Clear,Evening,Central,5
SG10533,3.9,31,25.32,Motorcycle,Low,Clear,evening,East,5
SG10534,3.4,45 min,37.98,Bicycle,Low,Clear,Evening,West,5
SG10535,2.5,42,31.93,Motorcycle,High,Cloudy,Afternoon,East,5
SG10536,12.5,54,41.59,Motorcycle,Medium,Clear,Evening,North-East,4.3
SG10537,4.7,36,48.92,Bicycle,High,Clear,Morning,North,5
SG10538,4.6,34,36.63,Motorcycle,Medium,Clear,Afternoon,North-East,5
SG10539,2.8,40,40.61,Car,High,Clear,Afternoon,East,5
SG10540,11.7,49,25.15,Motorcycle,Medium,Clear,Afternoon,North,5
SG10541,3.6,46,16.6,Bicycle,Medium,Clear,Afternoon,West,4.6
N/A,6.3,47,54,Bicycle,Medium,Rainy,Evening,West,4.4
SG10543,7.1,49,34.96,Bicycle,Medium,Cloudy,Afternoon,North-East,4.7
SG10544,5.8,40,24.5,Bicycle,Medium,Clear,Evening,West,5
SG10545,1.9,35,21.43,Car,Medium,Cloudy,Morning,North-East,
SG10546,8.1,55,26.01,Bicycle,Low,Rainy,Evening,North,4.5
SG10547,3.5,46,21.61,Motorcycle,High,Clear,Evening,Central,4.6
SG10548,8.8,33,18.33,Motorcycle,Low,Clear,Afternoon,North,4.7
SG10549,5.1,34,12.59,Bicycle,Low,Clear,Evening,West,4.7
SG10550,7.3,36,31.33,Motorcycle,Low,Clear,Night,North-East,4.8
SG10551,11.2,80,29.28,Motorcycle,High,Rainy,Evening,North,4.6
SG10552,7.9,52,48.7,Motorcycle,Medium,Rainy,Afternoon,Central,4.3
SG10553,7.4,36,37.76,Motorcycle,Medium,Clear,Afternoon,Central,4.8
SG10554,8.3,59,38.08,Motorcycle,High,Cloudy,Evening,Central,3.8
SG10555,3,41,20.77,Bicycle,Low,Clear,Afternoon,West,5
SG10556,9,65,33.62,Bicycle,High,Cloudy,Evening,Central,4.7
SG10557,4.5,53,36.25,Bicycle,Medium,Rainy,Afternoon,North,5
SG10558,4.5,28,40.95,Motorcycle,Low,Clear,Evening,West,5
SG10559,5.6,34,31.29,Motorcycle,Medium,Clear,Morning,North-East,5
SG10560,4.2,100,45.37,Bicycle,High,Cloudy,Morning,East,3.3
SG10561,2.6,30,30.2,Motorcycle,Low,Rainy,Night,West,5
SG10562,5.4,41,42.6,Bicycle,Medium,Clear,Evening,Central,4.8
SG10563,4.6,20,25.28,Motorcycle,Low,Clear,Night,North-East,
SG10564,4.5,39,8,Car,Medium,Clear,Night,Central,4.7
SG10565,5,42,35.5,Motorcycle,Medium,Cloudy,Afternoon,Central,4.8
SG10566,1.1,39,38.28,Bicycle,Medium,Cloudy,Afternoon,Central,4.6
SG10567,4.5,53,39.06,Bicycle,Medium,Rainy,Morning,North,4.3
SG10568,12.1,55,43.17,Motorcycle,Low,Rainy,Afternoon,Central,5
SG10569,11.5,62,32.68,Bicycle,Medium,,Afternoon,West,5
SG10570,5.5,47,21.9,Motorcycle,Medium,Rainy,Night,North,4
SG10571,5.4,42,39.47,Bicycle,Medium,Clear,Morning,North,4.1
SG10572,0.9,18,34.26,bicycle,Low,Cloudy,Morning,Central,4.7
SG10573,3.7,26,23.64,Motorcycle,Medium,Clear,Afternoon,Central,4.9
SG10574,8.2,43,49.02,Motorcycle,Medium,Clear,Morning,East,
SG10575,4.1,38,19.81,Bicycle,Low,Rainy,Afternoon,Central,5
SG10576,10,47,28.42,Motorcycle,Low,Cloudy,Evening,North,4.6
SG10577,9.6,63,56.98,Car,Medium,Rainy,Afternoon,East,4.4
SG10578,3.6,44,42.19,Bicycle,Medium,Clear,Evening,East,4.3
SG10579,5.8,41,27.95,Bicycle,Low,Cloudy,Night,Central,4.5
SG10580,12.7,57,41.89,Motorcycle,High,Clear,Evening,West,4.3
SG10581,1.9,37,31.5,Bicycle,Medium,,Evening,Central,4
SG10582,4.2,49,7,Car,High,Clear,Afternoon,North,3.9
SG10583,1.7,19,17.6,Motorcycle,Medium,Cloudy,Morning,Central,
SG10584,2.9,26,29.65,Motorcycle,Medium,Clear,Afternoon,North-East,5
SG10585,15,60,35.35,Motorcycle,Medium,,Night,North,4.3
SG10586,4.2,46,34.55,Motorcycle,High,Clear,Evening,Central,4.8
SG10587,1.2,38,43.68,Bicycle,Medium,Clear,Afternoon,Central,3.9
SG10588,2.6,47,25.9,Motorcycle,Medium,Rainy,Afternoon,East,3.9
SG10589,1.6,31,15.53,Bicycle,Medium,Clear,Evening,Central,5
SG10590,5.9,51,36.94,Motorcycle,Medium,Rainy,Evening,Central,3.2
SG10591,7,42,$24.50,Motorcycle,Low,Cloudy,Evening,North-East,5
SG10592,9.1,44,33.22,Motorcycle,Medium,Clear,Night,West,3.8
SG10593,8,54,30.58,Car,Medium,Cloudy,Evening,Central,4.7
SG10594,1.9,48,58.68,Bicycle,High,Cloudy,Evening,West,4.1
SG10595,6.8,53,7,Motorcycle,Medium,Rainy,Morning,Central,4.8
SG10596,4.9,51,26.85,Bicycle,Medium,Rainy,Morning,North-East,5
SG10597,9.9,49,35.86,Motorcycle,High,Cloudy,Night,Central,3.4
SG10598,8.5,53,24.67,Motorcycle,Medium,Cloudy,Evening,North,4.7
SG10599,16.2,61,52.64,Motorcycle,Low,Clear,Afternoon,North,3.4
SG10600,2.7,34,40.77,Car,Low,Cloudy,Evening,Central,5
SG10262,9.3,62,34.8,Bicycle,High,Clear,Evening,East,4
SG10133,6.2,38,18.91,Motorcycle,Med,Rainy,Morning,East,5
SG10576,10,47,28.42,Motorcycle,Low,Cloudy,Evening,North,4.6
SG10455,3.5,34,26.96,Motorcycle,Medium,Clear,Afternoon,Central,4.6
